"US GDP","09Q1","10Q1","11Q1","12Q1","13Q1"
"2007:Q4",-0.04%,0.53%,0.72%,0.42%,0.42%
"2008:Q1",0.22%,-0.18%,-0.18%,-0.44%,-0.44%
"2008:Q2",0.70%,0.36%,0.15%,0.33%,0.33%
"2008:Q3",-0.13%,-0.68%,-1.01%,-0.93%,-0.93%
"2008:Q4",-0.96%,-1.37%,-1.74%,-2.30%,-2.30%
"2009:Q1","NA",-1.65%,-1.24%,-1.71%,-1.34%
"2009:Q2","NA",-0.18%,-0.18%,-0.17%,-0.08%
"2009:Q3","NA",0.55%,0.40%,0.42%,0.36%
"2009:Q4","NA",1.40%,1.23%,0.94%,0.99%
"2010:Q1","NA","NA",0.92%,0.97%,0.58%
"2010:Q2","NA","NA",0.43%,0.93%,0.56%
"2010:Q3","NA","NA",0.63%,0.62%,0.64%
"2010:Q4","NA","NA",0.78%,0.58%,0.59%
"2011:Q1","NA","NA","NA",0.09%,0.02%
"2011:Q2","NA","NA","NA",0.33%,0.61%
"2011:Q3","NA","NA","NA",0.45%,0.32%
"2011:Q4","NA","NA","NA",0.68%,1.01%
"2012:Q1","NA","NA","NA","NA",0.49%
"2012:Q2","NA","NA","NA","NA",0.31%
"2012:Q3","NA","NA","NA","NA",0.77%
"2012:Q4","NA","NA","NA","NA",-0.04%
