DATE,Brasil,Spain,US,IPB50001N,Japan
01/01/1919,,,4.8773,4.7957,
01/02/1919,,,4.6617,4.6071,
01/03/1919,,,4.527,4.4994,
01/04/1919,,,4.6078,4.5802,
01/05/1919,,,4.6348,4.7149,
01/06/1919,,,4.9312,5.0113,
01/07/1919,,,5.2276,5.1729,
01/08/1919,,,5.3084,5.2807,
01/09/1919,,,5.2006,5.3077,
01/10/1919,,,5.1467,5.2807,
01/11/1919,,,5.0659,5.1729,
01/12/1919,,,5.1467,4.8227,
01/01/1920,,,5.6318,5.4963,
01/02/1920,,,5.6318,5.5232,
01/03/1920,,,5.524,5.5232,
01/04/1920,,,5.2276,5.1729,
01/05/1920,,,5.3623,5.4963,
01/06/1920,,,5.4162,5.4963,
01/07/1920,,,5.2815,5.1999,
01/08/1920,,,5.3084,5.3077,
01/09/1920,,,5.1198,5.1999,
01/10/1920,,,4.9042,5.0652,
01/11/1920,,,4.5,4.5802,
01/12/1920,,,4.2306,4.0144,
01/01/1921,,,3.9881,3.9336,
01/02/1921,,,3.9072,3.8797,
01/03/1921,,,3.7994,3.7719,
01/04/1921,,,3.7994,3.7989,
01/05/1921,,,3.9072,3.9875,
01/06/1921,,,3.8803,3.9336,
01/07/1921,,,3.8533,3.7989,
01/08/1921,,,3.9881,3.9875,
01/09/1921,,,4.015,4.0952,
01/10/1921,,,4.2575,4.3647,
01/11/1921,,,4.2036,4.2569,
01/12/1921,,,4.1767,3.9066,
01/01/1922,,,4.3384,4.2569,
01/02/1922,,,4.527,4.5533,
01/03/1922,,,4.7695,4.8227,
01/04/1922,,,4.6078,4.6071,
01/05/1922,,,4.8503,4.9035,
01/06/1922,,,5.0929,5.146,
01/07/1922,,,5.0929,5.0113,
01/08/1922,,,4.9851,4.9305,
01/09/1922,,,5.2545,5.3077,
01/10/1922,,,5.5509,5.7118,
01/11/1922,,,5.7935,5.8734,
01/12/1922,,,5.9551,5.6579,
01/01/1923,,,5.8204,5.6579,
01/02/1923,,,5.9012,5.8465,
01/03/1923,,,6.0899,6.1159,
01/04/1923,,,6.2246,6.2237,
01/05/1923,,,6.3054,6.3854,
01/06/1923,,,6.2515,6.3045,
01/07/1923,,,6.1977,6.089,
01/08/1923,,,6.0899,6.1159,
01/09/1923,,,5.9551,6.1159,
01/10/1923,,,5.9282,6.1159,
01/11/1923,,,5.9282,5.9543,
01/12/1923,,,5.7935,5.4963,
01/01/1924,,,5.9282,5.7387,
01/02/1924,,,6.036,5.9812,
01/03/1924,,,5.9282,5.9812,
01/04/1924,,,5.7396,5.7657,
01/05/1924,,,5.497,5.5501,
01/06/1924,,,5.2545,5.2807,
01/07/1924,,,5.1737,5.0652,
01/08/1924,,,5.3623,5.3885,
01/09/1924,,,5.5509,5.7387,
01/10/1924,,,5.6857,5.8734,
01/11/1924,,,5.7935,5.8196,
01/12/1924,,,5.9551,5.6579,
01/01/1925,,,6.1438,5.9812,
01/02/1925,,,6.1438,6.1159,
01/03/1925,,,6.1438,6.1968,
01/04/1925,,,6.1977,6.2237,
01/05/1925,,,6.1707,6.2237,
01/06/1925,,,6.1168,6.1159,
01/07/1925,,,6.2785,6.1159,
01/08/1925,,,6.1707,6.2237,
01/09/1925,,,6.0899,6.3045,
01/10/1925,,,6.3324,6.5201,
01/11/1925,,,6.4671,6.4662,
01/12/1925,,,6.548,6.1968,
01/01/1926,,,6.4402,6.2237,
01/02/1926,,,6.4402,6.4392,
01/03/1926,,,6.521,6.5739,
01/04/1926,,,6.521,6.547,
01/05/1926,,,6.4671,6.547,
01/06/1926,,,6.5479,6.547,
01/07/1926,,,6.5749,6.4392,
01/08/1926,,,6.6557,6.7625,
01/09/1926,,,6.7635,7.005,
01/10/1926,,,6.7635,7.005,
01/11/1926,,,6.7366,6.7625,
01/12/1926,,,6.7096,6.3315,
01/01/1927,,,6.6827,6.4392,
01/02/1927,,,6.7366,6.7625,
01/03/1927,,,6.8174,6.8973,
01/04/1927,,,6.6557,6.7625,
01/05/1927,,,6.7096,6.7895,
01/06/1927,,,6.6827,6.7356,
01/07/1927,,,6.6018,6.4392,
01/08/1927,,,6.6018,6.6548,
01/09/1927,,,6.4941,6.7356,
01/10/1927,,,6.3593,6.6278,
01/11/1927,,,6.3593,6.3315,
01/12/1927,,,6.3863,6.0082,
01/01/1928,,,6.521,6.2776,
01/02/1928,,,6.5749,6.5739,
01/03/1928,,,6.6288,6.7356,
01/04/1928,,,6.6018,6.7356,
01/05/1928,,,6.6827,6.7895,
01/06/1928,,,6.7366,6.7895,
01/07/1928,,,6.8174,6.6817,
01/08/1928,,,6.9522,7.032,
01/09/1928,,,7.006,7.3014,
01/10/1928,,,7.1408,7.4361,
01/11/1928,,,7.2755,7.1936,
01/12/1928,,,7.4102,6.7895,
01/01/1929,,,7.518,7.1936,
01/02/1929,,,7.4911,7.49,
01/03/1929,,,7.518,7.5978,
01/04/1929,,,7.6528,7.8133,
01/05/1929,,,7.7875,8.0019,
01/06/1929,,,7.8414,7.9211,
01/07/1929,,,7.9492,7.7594,
01/08/1929,,,7.8683,7.8941,
01/09/1929,,,7.8144,8.0558,
01/10/1929,,,7.6797,7.9211,
01/11/1929,,,7.3025,7.1936,
01/12/1929,,,6.9791,6.4662,
01/01/1930,,,6.9791,6.6548,
01/02/1930,,,6.9521,6.8973,
01/03/1930,,,6.8444,6.8434,
01/04/1930,,,6.7905,6.9242,
01/05/1930,,,6.6827,6.8973,
01/06/1930,,,6.4941,6.6278,
01/07/1930,,,6.1977,6.1159,
01/08/1930,,,6.0629,6.089,
01/09/1930,,,5.9551,6.1968,
01/10/1930,,,5.7935,5.9812,
01/11/1930,,,5.6587,5.5501,
01/12/1930,,,5.524,5.1729,
01/01/1931,,,5.497,5.1999,
