Date,France,Germany,Italy,Japan,Korea,Spain,UK,Euro Area
Jan-1980,85.57 ,59.47 ,99.02 ,64.53 ,6.63 ,87.02 ,..,66.31 
Feb-1980,86.78 ,59.66 ,106.65 ,71.41 ,6.35 ,86.77 ,..,69.91 
Mar-1980,87.18 ,64.02 ,105.77 ,75.99 ,7.11 ,87.91 ,..,71.31 
Apr-1980,85.97 ,60.52 ,107.72 ,74.80 ,7.03 ,83.72 ,..,70.12 
May-1980,82.02 ,59.04 ,101.37 ,72.00 ,7.19 ,88.16 ,..,67.24 
Jun-1980,82.42 ,58.80 ,104.60 ,73.36 ,7.00 ,84.36 ,..,67.80 
Jul-1980,74.02 ,56.77 ,98.73 ,73.62 ,7.00 ,83.98 ,..,62.32 
Aug-1980,54.57 ,53.09 ,48.09 ,65.97 ,6.92 ,50.49 ,..,51.07 
Sep-1980,78.54 ,60.03 ,101.86 ,72.34 ,6.69 ,85.88 ,..,67.74 
Oct-1980,81.29 ,63.77 ,101.27 ,72.17 ,7.24 ,93.24 ,..,69.88 
Nov-1980,83.39 ,61.81 ,105.38 ,70.64 ,7.24 ,88.93 ,..,71.02 
Dec-1980,81.21 ,58.61 ,92.67 ,73.11 ,7.47 ,84.36 ,..,65.15 
Jan-1981,83.47 ,55.79 ,96.29 ,64.70 ,7.07 ,82.46 ,..,63.42 
Feb-1981,85.97 ,57.63 ,103.33 ,69.03 ,6.48 ,83.98 ,..,68.55 
Mar-1981,83.71 ,62.42 ,103.33 ,75.40 ,7.70 ,88.54 ,..,69.08 
Apr-1981,82.42 ,58.68 ,101.37 ,73.02 ,7.95 ,83.60 ,..,67.99 
May-1981,81.69 ,57.57 ,105.57 ,69.62 ,8.17 ,86.52 ,..,67.06 
Jun-1981,82.02 ,57.26 ,101.66 ,73.62 ,8.27 ,86.52 ,..,66.39 
Jul-1981,72.73 ,55.73 ,98.24 ,74.63 ,7.95 ,88.29 ,..,62.07 
Aug-1981,53.60 ,51.99 ,40.76 ,68.27 ,8.14 ,48.71 ,..,48.79 
Sep-1981,78.95 ,60.95 ,103.42 ,75.23 ,7.93 ,84.36 ,..,68.41 
Oct-1981,81.61 ,64.20 ,102.64 ,75.14 ,8.36 ,89.94 ,..,70.70 
Nov-1981,84.44 ,61.81 ,104.01 ,74.29 ,8.14 ,88.16 ,..,70.34 
Dec-1981,82.26 ,58.49 ,86.32 ,75.57 ,8.33 ,83.98 ,..,63.91 
Jan-1982,83.63 ,55.55 ,98.93 ,66.48 ,7.34 ,79.79 ,..,64.11 
Feb-1982,84.44 ,56.22 ,102.35 ,70.56 ,7.38 ,81.82 ,..,67.32 
Mar-1982,85.08 ,62.54 ,100.10 ,77.95 ,8.08 ,90.07 ,..,68.78 
Apr-1982,83.71 ,58.74 ,101.57 ,74.04 ,8.31 ,82.58 ,..,68.19 
May-1982,81.85 ,57.20 ,98.83 ,70.30 ,8.46 ,86.77 ,..,65.60 
Jun-1982,81.85 ,56.65 ,94.63 ,74.46 ,8.40 ,84.23 ,..,64.47 
Jul-1982,72.09 ,52.05 ,96.78 ,74.72 ,8.29 ,84.99 ,..,60.15 
Aug-1982,52.15 ,50.02 ,40.08 ,68.18 ,8.12 ,47.95 ,..,47.41 
Sep-1982,77.09 ,58.00 ,99.42 ,75.14 ,8.50 ,87.91 ,..,66.35 
Oct-1982,80.80 ,59.78 ,98.34 ,72.09 ,8.44 ,85.75 ,..,67.42 
Nov-1982,82.98 ,57.88 ,97.36 ,73.36 ,8.80 ,88.54 ,..,66.84 
Dec-1982,79.51 ,55.05 ,83.19 ,73.95 ,9.07 ,83.34 ,..,61.06 
Jan-1983,82.50 ,53.40 ,90.13 ,66.31 ,8.52 ,84.36 ,..,61.57 
Feb-1983,84.03 ,53.89 ,97.17 ,70.22 ,7.95 ,83.98 ,..,65.43 
Mar-1983,84.28 ,60.33 ,95.60 ,77.95 ,9.05 ,91.46 ,..,67.46 
Apr-1983,82.34 ,56.71 ,96.97 ,74.29 ,9.28 ,85.25 ,..,66.32 
May-1983,81.21 ,55.73 ,93.35 ,71.83 ,9.66 ,90.07 ,..,64.35 
Jun-1983,81.13 ,57.94 ,93.35 ,75.65 ,9.92 ,87.78 ,..,65.31 
Jul-1983,72.17 ,52.42 ,94.63 ,76.33 ,9.75 ,83.47 ,..,60.10 
Aug-1983,53.36 ,50.64 ,41.25 ,72.09 ,9.92 ,50.36 ,..,48.11 
Sep-1983,77.90 ,59.84 ,97.95 ,78.88 ,9.79 ,88.54 ,..,67.59 
Oct-1983,80.32 ,62.17 ,97.85 ,77.18 ,10.15 ,87.66 ,..,69.09 
Nov-1983,85.16 ,61.74 ,100.39 ,78.37 ,10.34 ,89.69 ,..,69.86 
Dec-1983,81.45 ,59.41 ,86.71 ,80.32 ,10.51 ,87.40 ,..,65.24 
Jan-1984,85.24 ,56.65 ,91.69 ,72.09 ,9.87 ,87.28 ,..,64.24 
Feb-1984,86.54 ,58.18 ,96.19 ,78.54 ,9.56 ,88.04 ,..,67.61 
Mar-1984,85.81 ,61.87 ,99.42 ,85.16 ,10.91 ,90.70 ,..,69.30 
Apr-1984,82.82 ,57.82 ,96.29 ,81.00 ,11.18 ,82.46 ,..,67.32 
May-1984,83.23 ,57.94 ,100.10 ,79.56 ,11.52 ,90.57 ,..,66.53 
Jun-1984,80.89 ,52.05 ,100.88 ,83.12 ,11.52 ,86.39 ,..,64.08 
Jul-1984,74.51 ,56.16 ,95.02 ,84.48 ,11.22 ,86.64 ,..,62.58 
Aug-1984,55.30 ,52.78 ,46.24 ,78.88 ,11.39 ,53.79 ,..,50.88 
Sep-1984,79.43 ,61.13 ,104.40 ,83.80 ,10.66 ,86.13 ,..,70.39 
Oct-1984,83.23 ,65.67 ,100.59 ,85.16 ,11.37 ,92.48 ,..,71.63 
Nov-1984,84.76 ,63.77 ,100.59 ,85.33 ,11.35 ,91.08 ,..,71.51 
Dec-1984,80.40 ,60.89 ,89.44 ,85.93 ,11.58 ,83.34 ,..,67.03 
Jan-1985,82.05 ,58.55 ,89.25 ,77.27 ,10.55 ,89.43 ,..,67.19 
Feb-1985,81.22 ,59.04 ,101.78 ,82.02 ,10.02 ,85.37 ,..,69.89 
Mar-1985,85.29 ,64.69 ,102.07 ,88.56 ,11.44 ,89.94 ,..,72.75 
Apr-1985,82.79 ,60.82 ,97.39 ,86.18 ,11.60 ,85.63 ,..,69.95 
May-1985,79.01 ,60.27 ,99.54 ,84.14 ,11.79 ,91.46 ,..,67.17 
Jun-1985,80.95 ,60.76 ,102.07 ,85.76 ,11.52 ,84.49 ,..,68.43 
Jul-1985,75.96 ,59.72 ,95.89 ,88.64 ,11.67 ,90.32 ,..,63.89 
Aug-1985,55.53 ,54.50 ,42.94 ,80.66 ,11.54 ,52.90 ,..,54.14 
Sep-1985,79.37 ,63.52 ,101.32 ,86.18 ,11.54 ,89.05 ,..,69.95 
Oct-1985,89.72 ,68.62 ,98.60 ,86.35 ,11.82 ,99.83 ,..,74.89 
Nov-1985,87.23 ,66.90 ,103.47 ,86.01 ,11.94 ,93.75 ,..,75.72 
Dec-1985,85.38 ,61.31 ,88.22 ,87.20 ,12.55 ,87.02 ,..,69.56 
Jan-1986,85.01 ,60.15 ,95.14 ,77.52 ,12.34 ,89.18 ,..,68.56 
Feb-1986,82.61 ,61.13 ,103.75 ,82.62 ,11.67 ,88.80 ,..,72.09 
Mar-1986,85.20 ,65.43 ,106.28 ,89.58 ,13.36 ,88.42 ,..,73.57 
Apr-1986,88.89 ,64.32 ,103.75 ,85.93 ,13.82 ,95.40 ,..,73.52 
May-1986,79.93 ,60.64 ,101.88 ,83.12 ,14.22 ,92.10 ,..,67.67 
Jun-1986,84.73 ,62.60 ,105.90 ,86.18 ,14.14 ,93.37 ,..,70.95 
Jul-1986,78.27 ,60.95 ,101.13 ,88.05 ,14.24 ,94.51 ,..,65.44 
Aug-1986,56.18 ,55.55 ,42.66 ,78.62 ,14.05 ,50.87 ,..,55.14 
Sep-1986,83.26 ,64.63 ,104.31 ,87.54 ,14.12 ,92.98 ,..,71.92 
Oct-1986,91.11 ,68.74 ,103.19 ,85.93 ,14.77 ,101.23 ,..,75.79 
Nov-1986,86.49 ,66.10 ,105.25 ,84.48 ,14.77 ,95.78 ,..,74.98 
Dec-1986,87.32 ,62.05 ,95.42 ,87.71 ,15.40 ,88.80 ,..,70.50 
Jan-1987,83.53 ,58.74 ,94.96 ,77.95 ,14.09 ,88.42 ,..,68.26 
Feb-1987,83.63 ,61.13 ,106.09 ,82.19 ,14.41 ,92.73 ,..,72.60 
Mar-1987,90.56 ,66.10 ,108.33 ,91.02 ,16.39 ,97.55 ,..,74.97 
Apr-1987,86.58 ,63.34 ,105.62 ,86.27 ,16.60 ,92.22 ,..,72.89 
May-1987,81.32 ,62.36 ,110.20 ,82.11 ,17.22 ,97.17 ,..,70.38 
Jun-1987,87.78 ,62.17 ,107.02 ,88.56 ,17.47 ,98.19 ,..,71.97 
Jul-1987,79.10 ,59.41 ,102.72 ,91.53 ,17.24 ,103.89 ,..,65.97 
Aug-1987,57.29 ,56.40 ,43.22 ,82.45 ,14.77 ,53.53 ,..,56.28 
Sep-1987,85.20 ,65.06 ,106.93 ,91.53 ,17.20 ,99.20 ,..,72.81 
Oct-1987,90.93 ,69.48 ,109.18 ,92.38 ,16.86 ,103.01 ,..,76.94 
Nov-1987,89.91 ,67.58 ,109.83 ,91.62 ,18.08 ,101.99 ,..,77.18 
Dec-1987,90.46 ,63.40 ,95.24 ,94.76 ,18.61 ,92.98 ,..,71.88 
Jan-1988,86.31 ,60.52 ,106.93 ,84.56 ,18.12 ,91.08 ,..,70.21 
Feb-1988,88.71 ,62.79 ,111.23 ,92.34 ,17.15 ,97.42 ,..,73.94 
Mar-1988,95.64 ,68.68 ,111.89 ,101.55 ,19.12 ,104.40 ,..,78.05 
Apr-1988,87.41 ,64.08 ,113.48 ,95.72 ,17.89 ,95.90 ,..,74.16 
May-1988,85.66 ,63.22 ,110.49 ,90.50 ,18.25 ,102.12 ,..,72.22 
Jun-1988,91.48 ,65.49 ,113.01 ,97.15 ,18.48 ,101.23 ,..,75.04 
Jul-1988,79.01 ,60.33 ,111.23 ,97.97 ,19.09 ,100.47 ,..,67.57 
Aug-1988,61.54 ,60.15 ,49.86 ,90.19 ,19.16 ,56.83 ,..,59.63 
Sep-1988,87.78 ,68.31 ,114.23 ,99.91 ,18.71 ,101.74 ,..,76.38 
Oct-1988,91.39 ,71.69 ,114.98 ,98.07 ,19.73 ,101.86 ,..,79.13 
Nov-1988,93.24 ,70.34 ,117.78 ,99.81 ,19.88 ,106.81 ,..,79.88 
Dec-1988,93.97 ,66.78 ,106.93 ,102.06 ,19.77 ,95.40 ,..,75.73 
Jan-1989,92.68 ,64.38 ,108.24 ,91.42 ,18.48 ,101.61 ,..,74.82 
Feb-1989,89.17 ,64.94 ,118.34 ,96.02 ,16.94 ,99.58 ,..,76.93 
Mar-1989,95.45 ,71.13 ,115.63 ,111.38 ,19.56 ,104.40 ,..,80.44 
Apr-1989,92.03 ,69.29 ,117.50 ,100.83 ,18.29 ,103.01 ,..,79.18 
May-1989,88.34 ,64.26 ,113.95 ,96.74 ,19.45 ,105.67 ,..,74.08 
Jun-1989,95.36 ,69.36 ,117.50 ,104.52 ,19.54 ,108.71 ,..,79.61 
Jul-1989,82.05 ,64.87 ,114.98 ,103.29 ,19.77 ,105.54 ,..,71.75 
Aug-1989,64.59 ,62.24 ,53.61 ,95.82 ,20.30 ,60.64 ,..,61.92 
Sep-1989,89.08 ,71.20 ,119.75 ,104.21 ,19.24 ,105.92 ,..,79.53 
Oct-1989,97.67 ,75.80 ,119.00 ,103.09 ,20.02 ,108.33 ,..,83.34 
Nov-1989,97.58 ,73.59 ,121.34 ,103.50 ,20.55 ,109.86 ,..,83.18 
Dec-1989,94.25 ,69.85 ,112.17 ,105.54 ,20.42 ,93.62 ,..,78.25 
Jan-1990,92.62 ,68.07 ,111.59 ,93.16 ,18.51 ,105.92 ,..,78.21 
Feb-1990,90.14 ,68.25 ,112.29 ,99.09 ,19.44 ,99.71 ,..,79.76 
Mar-1990,99.12 ,75.68 ,124.19 ,112.40 ,21.49 ,109.48 ,..,84.98 
Apr-1990,91.13 ,69.29 ,108.29 ,103.80 ,21.01 ,96.92 ,..,80.69 
May-1990,89.67 ,70.58 ,121.59 ,100.43 ,20.72 ,108.08 ,..,79.86 
Jun-1990,95.95 ,71.01 ,116.59 ,107.59 ,20.93 ,108.08 ,..,82.22 
Jul-1990,89.58 ,68.43 ,120.19 ,110.15 ,21.09 ,105.29 ,..,76.81 
Aug-1990,66.79 ,65.98 ,56.40 ,100.43 ,21.33 ,60.38 ,..,59.77 
Sep-1990,91.78 ,75.12 ,114.19 ,109.02 ,22.33 ,103.39 ,..,83.57 
Oct-1990,100.79 ,80.46 ,125.49 ,111.07 ,20.82 ,106.69 ,..,86.95 
Nov-1990,95.42 ,77.70 ,115.29 ,109.43 ,22.67 ,110.11 ,..,85.20 
Dec-1990,90.98 ,72.79 ,97.29 ,111.07 ,22.88 ,93.24 ,..,79.31 
Jan-1991,94.06 ,72.61 ,113.49 ,99.50 ,22.25 ,104.66 ,..,79.80 
Feb-1991,90.58 ,70.81 ,109.79 ,105.54 ,19.74 ,99.83 ,..,80.10 
Mar-1991,95.89 ,75.21 ,116.69 ,116.19 ,22.87 ,97.68 ,..,87.30 
Apr-1991,92.06 ,77.11 ,107.59 ,107.69 ,23.34 ,103.13 ,..,80.10 
May-1991,86.46 ,70.81 ,119.79 ,104.72 ,23.39 ,104.91 ,..,80.40 
Jun-1991,96.08 ,77.81 ,113.69 ,108.41 ,22.09 ,103.26 ,..,85.50 
Jul-1991,90.57 ,73.61 ,122.29 ,113.12 ,23.13 ,105.42 ,..,80.20 
Aug-1991,65.22 ,65.71 ,51.00 ,99.91 ,23.25 ,59.50 ,..,59.20 
Sep-1991,93.05 ,76.41 ,117.79 ,109.74 ,22.93 ,103.77 ,..,84.70 
Oct-1991,100.65 ,80.81 ,124.39 ,109.23 ,24.91 ,112.77 ,..,87.30 
Nov-1991,94.03 ,77.11 ,116.19 ,108.82 ,24.99 ,107.07 ,..,87.40 
Dec-1991,94.16 ,70.21 ,98.19 ,108.61 ,24.72 ,96.16 ,..,78.80 
Jan-1992,93.64 ,70.71 ,108.29 ,96.02 ,23.91 ,101.23 ,..,79.40 
Feb-1992,90.12 ,73.21 ,113.39 ,101.45 ,22.25 ,101.99 ,..,81.20 
Mar-1992,98.64 ,79.21 ,122.99 ,110.56 ,25.16 ,105.16 ,..,87.60 
Apr-1992,92.45 ,74.81 ,112.89 ,101.65 ,25.50 ,99.20 ,..,81.30 
May-1992,84.48 ,70.91 ,113.69 ,95.82 ,24.75 ,101.23 ,..,81.40 
Jun-1992,96.85 ,75.21 ,121.09 ,104.11 ,24.79 ,103.77 ,..,83.80 
