,France,Germany,Italy,Japan,Korea,Spain,United Kingdom,Euro area (19 countries)
Jan-80,81.83,61.73,97.39,70.58,..,83.39,71.1,68.16
Feb-80,81.59,61.67,98.97,73.19,..,82.82,70.36,67.58
Mar-80,82.16,61.11,101.39,71.26,..,85.81,69.51,67.61
Apr-80,82.16,60.49,99.72,72.52,..,82.65,68.55,67.45
May-80,80.12,60.43,97.39,72.01,..,82.15,67.6,66.68
Jun-80,80.53,59.88,96.55,71.26,..,83.28,66.64,67.07
Jul-80,81.26,60.18,93.75,71.17,..,82.15,65.9,66.49
Aug-80,81.26,60.31,97.29,69.07,..,81.87,65.16,67.77
Sep-80,79.72,58.21,91.42,70.16,..,82.44,64.52,65.68
Oct-80,79.39,58.52,92.35,70.58,..,82.99,63.99,65.77
Nov-80,78.91,59.51,96.92,69.66,..,83.09,63.67,66.36
Dec-80,80.21,58.64,95.52,70.67,..,81.72,63.46,66.37
Jan-81,79.88,58.39,94.79,70.75,..,81.33,63.57,65.22
Feb-81,80.61,59.51,95.26,70.5,..,83,63.57,66.29
Mar-81,79.07,59.26,95.14,70.75,..,82.18,63.67,65.44
Apr-81,78.99,58.7,95.38,70.75,..,82.87,63.88,65.49
May-81,79.96,59.07,96.44,69.66,..,82.82,63.99,66.38
Jun-81,80.37,58.39,96.32,71.43,..,83.47,64.2,65.7
Jul-81,79.39,58.89,94.79,72.01,..,84.41,64.52,66.17
Aug-81,79.39,58.95,93.84,71.76,..,78.72,64.95,65.04
Sep-81,80.45,59.14,95.14,72.94,..,80.85,65.37,66.09
Oct-81,79.88,59.44,95.14,73.36,..,82.39,65.79,66.4
Nov-81,79.88,58.95,95.85,73.36,..,81.97,65.79,65.84
Dec-81,81.43,58.46,92.42,73.11,..,82.05,65.58,65.21
Jan-82,80.04,58.7,96.67,72.69,..,80.56,65.16,65.81
Feb-82,79.39,58.27,94.2,72.18,..,80.73,64.95,65.12
Mar-82,80.45,58.83,92.54,72.94,..,84.19,65.16,65.02
Apr-82,80.37,58.7,95.73,71.93,..,81.33,65.79,65.67
May-82,80.12,58.7,91.95,71.26,..,81.73,66.32,64.94
Jun-82,80.29,57.28,89.12,72.18,..,79.86,66.64,63.74
Jul-82,77.93,55.37,92.42,72.01,..,81.59,66.54,64.11
Aug-82,77.93,56.54,90.65,72.1,..,76.77,66.32,63.43
Sep-82,78.5,56.3,91.01,72.44,..,83.91,65.9,63.93
Oct-82,79.07,55.68,90.06,70.33,..,80.66,65.48,63.32
Nov-82,78.58,55,88.53,72.1,..,82.21,65.48,62.72
Dec-82,78.91,55.25,89.47,71.34,..,80.31,65.9,62.29
Jan-83,79.07,56.11,89.71,71.93,..,83.82,66.54,63.15
Feb-83,78.74,55.62,89.36,71.68,..,83.05,67.17,63.42
